ITEM_ID,CATEGORY,STYLE
6579c22f-be2b-444c-a52b-0116dd82df6c,accessories,backpack
2e852905-c6f4-47db-802c-654013571922,accessories,backpack
4ec7ff5c-f70f-4984-b6c4-c7ef37cc0c09,accessories,backpack
7977f680-2cf7-457d-8f4d-afa0aa168cb9,accessories,backpack
b5649d7c-4651-458d-a07f-912f253784ce,accessories,backpack
296d144e-7f86-464b-9c5a-f545257f1700,accessories,backpack
7d3e7f5b-8ac8-49a9-a960-8a24773a8280,accessories,backpack
1d3ae532-f790-44ca-a8e8-f55aa9b66526,accessories,backpack
f6cd5dd2-d3ea-4858-844a-04879153e459,accessories,backpack
3491deff-c0fe-4065-abbc-72b507da84b2,accessories,backpack
1a3fa9d4-e320-4873-be58-f3f6af5f99f4,accessories,backpack
da1f2a8f-5372-4102-b357-9e40900ebb08,accessories,backpack
0c47dade-1ec0-483a-9ab4-1b87604bdaf8,accessories,backpack
f995ec8d-237c-4513-8bfa-9aee210f097c,accessories,backpack
41ab23ce-b417-46b2-a52a-bf7030f93161,accessories,backpack
b438ff91-d7cc-461b-b7fb-951d195e32bb,accessories,backpack
d2d5b3ba-8e15-4161-b50a-e56869e20eb2,accessories,backpack
bb7d8938-2183-4556-a6af-c3761c094711,accessories,backpack
ccf64e5d-bee5-438a-99b7-14d8cf33596a,accessories,backpack
77165ec4-e965-47b2-adbc-5d0e519c00ed,accessories,backpack
a6d169a8-4d21-4cb3-b04a-ba3c978b6009,accessories,backpack
2c27752b-8194-489f-96fa-be356fd811e0,accessories,backpack
84d6c26d-9760-49d8-854b-0a22becd8241,accessories,backpack
f95a0ee3-8ab6-4061-bef2-3578c6b5b7f0,accessories,backpack
01b24cde-af53-4629-b7f0-0965f795b870,accessories,backpack
d062cb1b-09de-4b7f-bfd3-b0136c87266b,accessories,backpack
f9a481fc-b635-416b-83da-ea944f206a6d,accessories,backpack
b78718ce-5f0a-4f39-8eb0-56de026b4870,accessories,backpack
95a38ced-a972-4e9f-b54d-fbd109ad956e,accessories,backpack
437f3c6b-5fe6-4af0-9db6-ff3a0f44f585,accessories,backpack
fdf9d37f-2115-4004-99f2-0d56f8e5d016,accessories,backpack
b535e4ad-3f3c-4b05-9715-9dc7077239de,accessories,backpack
2cc89e77-685d-423c-80a9-82e07ea13b7c,accessories,backpack
5c010bac-31a6-4ff3-9557-2f5e20b509cc,accessories,backpack
81bde330-051f-4db6-96c7-886dda3171b3,accessories,backpack
6819350e-987d-4b87-9132-6aa5ca256e9d,accessories,backpack
3cd33786-a655-407f-b22f-c4150b1e529e,accessories,backpack
a3ad25e8-c9c3-459a-a853-c26a0ad837eb,accessories,backpack
90946422-31ea-4dd1-8651-a9e3a122bcf6,accessories,backpack
d9d3351f-1fdb-4ba7-b757-55f18a1a2dc0,accessories,backpack
0d748c4b-8fae-47e7-80f5-bfbae8c4c2f1,accessories,backpack
d0062fa5-02b3-4c94-be9f-2fdafa7cde2d,accessories,backpack
8b93bc57-62ca-4c6f-a83a-c527da84f224,accessories,backpack
9f6d63f4-6fd0-4c31-89b6-fffd6aedcce2,accessories,backpack
c6f84710-d744-462e-970a-9fdf9352f64b,accessories,backpack
73d9a14d-0fa0-44ca-b367-e4f9af3986ed,accessories,backpack
d5999799-b6c1-45cf-8d5a-eaa8406a5409,accessories,backpack
8325cf2c-2158-4b9b-ab7a-d55e072e9ce6,accessories,backpack
3efb5bf2-b419-43b9-9b1f-78a6aa6fc2b7,accessories,bag
e0b421f5-481e-4766-847d-474ee9228729,accessories,bag
7e06b209-80dc-493d-a8a8-e4e20ffbe63b,accessories,bag
e75111c1-1770-4bfe-aa5f-60b72612e8a9,accessories,bag
c1df3910-d085-48d3-8eb1-2225c6b81159,accessories,bag
1ce4a083-d8cc-49c9-9708-9bc966f478f8,accessories,bag
28c14c06-d947-44d0-96f8-dc2113845e4c,accessories,bag
e905caf8-8265-4dbd-9bf3-6c25dedfcc51,accessories,bag
94a0ad41-8b19-4ecb-b0d7-33704e2d4421,accessories,bag
31c2c0cc-5b0a-4773-bf47-4a63125c48a1,accessories,bag
c102c29e-ed5a-4b27-b2ec-1a4001e6757e,accessories,bag
58c0ca95-b1ff-4cd4-a7c2-2ea2ce714ad4,accessories,bag
4743a2b1-89a1-42c2-bd95-fe6feb8befea,accessories,bag
78770acc-562f-42a9-89fb-22bf5b6b60a2,accessories,bag
55763c45-6051-4fff-ae04-495c0fafa8ff,accessories,bag
fd4829c9-5c51-49a1-ac9f-1d316506a75f,accessories,bag
cb12324e-4a35-4c97-a5ec-b14424bb1570,accessories,bag
2106dc3a-b8b7-4059-bc3e-fe30bc6f0f86,accessories,bag
5a9e66ed-32c5-461e-a4b0-a56948c3235b,accessories,bag
3d882b22-847d-4d7f-9a74-3bd290db95c2,accessories,bag
6b81a807-d7eb-41b5-8e6e-887455775c38,accessories,bag
7c9d829a-08c6-42fc-a211-02ddaacb2485,accessories,belt
e2c8393e-2109-4a91-966f-f30274d0515d,accessories,belt
b31c2063-c802-4ceb-a77a-0cab15cf99ee,accessories,belt
af7da9e1-844a-4c9a-8277-0127feda35b4,accessories,belt
55b3f4ff-7a92-4ad7-bc1b-59c98c23c6d9,accessories,belt
622eb4e4-4bb9-4099-bd1b-3d64b715a92e,accessories,belt
93b383f7-44ca-4543-866a-a7a3953ff989,accessories,belt
1f730c26-3e59-41f3-b031-e054a137ee93,accessories,belt
8b2a170c-e2e9-4d94-ae1a-994114ac11a5,accessories,belt
025ec8a0-0358-494f-a51a-065f090e84f8,accessories,belt
e2babef4-5219-4b68-9fcc-9806ef1dffb1,accessories,belt
9c05f815-7ecf-4054-9132-7f47455d3a43,accessories,belt
07441beb-9b1a-4c25-b302-2f11362cff86,accessories,belt
84d2c523-4a9e-4c4a-9104-9d858cc0e30b,accessories,belt
7c465a98-18f5-4049-81b8-3db28750ce8f,accessories,belt
022b3ccd-1566-4bdd-800f-bf7afb7951b2,accessories,belt
3225baba-d5ea-44a5-a8d5-d0e015059709,accessories,belt
1edd4314-82f8-4459-9049-b55377cc1ded,accessories,belt
b105252a-e06c-413a-a635-b911fc3c4033,accessories,belt
16842055-6a51-443b-843c-51bc85dee353,accessories,belt
8ebed2f4-c0c0-4dc7-9875-1836502f2eb3,accessories,belt
6cae2ce6-9fae-4eff-a26e-f483ff6aead6,accessories,belt
40661057-b318-4fc9-bf00-8a1ab1b3c3cb,accessories,belt
ac841c3e-6a9d-42d3-8b1a-5465380c2af2,accessories,belt
f42e5d43-3131-41be-b71c-7d809a998104,accessories,belt
49ac9399-751f-451d-a21c-5d8b6f29354f,accessories,belt
8c0c6d20-14f1-4387-a77b-662580d36cf2,accessories,belt
d4cf35dd-b543-4b4f-9efb-c2de473c3fed,accessories,belt
c6dd0909-46f3-4cf9-a059-fbdff93198dd,accessories,belt
3eba60d7-fbde-4f4d-bb3a-30df62057fe0,accessories,belt
65921948-81ea-4075-8649-4c9de10f5525,accessories,belt
083c4c20-48c3-4610-b3f1-405602408f15,accessories,belt
f1eb9d5b-94d8-4c3d-bf0b-3cad66c5f58e,accessories,belt
f1afa8b2-52d9-4488-84de-30875c2c9198,accessories,belt
fcb6244e-d745-41cc-b364-961cc301e36e,accessories,belt
e6a872ab-6a79-4703-9148-1efdca2289e5,accessories,belt
9f87cbe4-07dc-4540-ad1d-693ea0c27045,accessories,belt
23b9529f-e42b-4546-8066-36771aa9ee1a,accessories,belt
c3801e4e-9cdf-4ca8-80ec-7c7ce09a84fa,accessories,glasses
75edcc32-739d-4f67-aa1b-167ccb734c48,accessories,glasses
844846d9-dc61-4709-8286-a0f79d6ae809,accessories,glasses
81c4df40-9efb-4d78-b52f-9820ae975875,accessories,glasses
4e5d7396-eb2c-48a2-8087-501333c06065,accessories,glasses
7c0147c7-4dba-4d4c-a543-57c5da5a4774,accessories,glasses
cd8355e3-d70a-4243-a216-37e30319023d,accessories,glasses
161ff272-2e10-46ff-895a-83c52e3ce8ed,accessories,glasses
